currency,feature,provider,series_id,frequency,coverage_start,coverage_end,publication_time_status,vintage_status,expectation_kind,license_status,missing_rate,decision,limitation
CAD,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
CAD,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.CA,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
CAD,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01CAM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Must be tested against Bank of Canada preferred core measures.
CAD,unemployment,ALFRED hosting OECD,LRHUTTTTCAM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
CHF,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
CHF,fx_reference,ECB EXR reference rates,EXR.D.CHF.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
CHF,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01CHM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Candidate identity is verified but full point-in-time coverage is not yet audited.
CHF,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
CHF,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.CH,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
CHF,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01CHM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Generic core CPI is only a candidate until bank-specific measure profiles are frozen.
CHF,unemployment,ALFRED hosting OECD,LMUNRRTTCHM156S,monthly,pending_full_series_audit,last_selectable_vintage_2025-11-17,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_returned_html,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Common ALFRED request failed; monthly registered unemployment also differs from quarterly harmonised unemployment.
EUR,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
EUR,fx_reference,ECB EXR reference rates,identity_EUR_per_EUR,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Identity leg used only for deterministic cross algebra.
EUR,headline_inflation,ALFRED hosting OECD or Eurostat,CPHPTT01EZM659N,monthly,pending_full_series_audit,last_selectable_vintage_2023-03-09,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_returned_html,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Common ALFRED request failed; HICP definition and euro-area composition also require alignment.
EUR,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
EUR,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.XM,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
EUR,underlying_inflation,ALFRED hosting OECD or Eurostat,00XEFDEZ19M086NEST,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Eurostat all-items excluding food and energy uses fixed EA19 composition and differs from OECD rows.
EUR,unemployment,ALFRED hosting OECD,LRHUTTTTEZM156S,monthly,pending_full_series_audit,last_selectable_vintage_2023-03-09,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_returned_html,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Common ALFRED request failed and requires an official Eurostat fallback.
GBP,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
GBP,fx_reference,ECB EXR reference rates,EXR.D.GBP.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
GBP,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01GBM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Candidate identity is verified but full point-in-time coverage is not yet audited.
GBP,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
GBP,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.GB,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
GBP,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01GBM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Generic core CPI is only a candidate until bank-specific measure profiles are frozen.
GBP,unemployment,ALFRED hosting OECD,LRHUTTTTGBM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
JPY,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
JPY,fx_reference,ECB EXR reference rates,EXR.D.JPY.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
JPY,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01JPM659N,monthly,pending_full_series_audit,last_selectable_vintage_2024-05-15,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_returned_html,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Common ALFRED request failed and requires a national-source fallback.
JPY,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
JPY,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.JP,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
JPY,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01JPM659N,monthly,pending_full_series_audit,last_selectable_vintage_2024-05-15,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_returned_html,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Common ALFRED request failed; measure must also be reconciled to CPI excluding fresh food.
JPY,unemployment,ALFRED hosting OECD,LRHUTTTTJPM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
NOK,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
NOK,fx_reference,ECB EXR reference rates,EXR.D.NOK.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
NOK,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01NOM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Candidate identity is verified but full point-in-time coverage is not yet audited.
NOK,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
NOK,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.NO,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
NOK,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01NOM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Must be tested against CPI-ATE or the effective Norges Bank measure.
NOK,unemployment,ALFRED hosting OECD,LRHUTTTTNOM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
NZD,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
NZD,fx_reference,ECB EXR reference rates,EXR.D.NZD.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
NZD,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01NZQ659N,quarterly,pending_full_series_audit,last_selectable_vintage_2023-11-10,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_returned_html,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Common ALFRED request failed; quarterly CPI also cannot provide a new monthly observation.
NZD,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
NZD,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.NZ,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
NZD,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01NZQ659N,quarterly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Quarterly generic core CPI; RBNZ sectoral-factor mapping remains unresolved.
NZD,unemployment,ALFRED hosting OECD,LRHUTTTTNZQ156S,quarterly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Quarterly series is stale between releases.
SEK,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
SEK,fx_reference,ECB EXR reference rates,EXR.D.SEK.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
SEK,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01SEM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Candidate identity is verified but full point-in-time coverage is not yet audited.
SEK,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
SEK,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.SE,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
SEK,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01SEM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Must be tested against CPIF excluding energy and Riksbank practice.
SEK,unemployment,ALFRED hosting OECD,LRHUTTTTSEM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
USD,central_bank_profile,official central-bank documents,manual_effective_dated_profile,event_driven,pending_manual_audit,open,pending_manual_audit,versioned_document_required,not_applicable,public_documents_citation_only,pending,REVIEW_REQUIRED,"Target, mandate, indicator choice, and historical changes require official citations."
USD,fx_reference,ECB EXR reference rates,EXR.D.USD.EUR.SP00.A,business_daily,1999-01-04_or_currency_specific,open,verified_conservative_16_00_CET,non_revisable_with_corrections_possible,not_applicable,free_access_research_use,sample_0_on_common_business_dates,PASS,Indicative reference marks are not executable bid or ask quotes.
USD,headline_inflation,ALFRED hosting OECD or Eurostat,CPALTT01USM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,CPI is not the Federal Reserve PCE target measure; profile mapping is required.
USD,policy_expectation_6m,NONE_QUALIFIED,none,monthly_snapshot,not_available,not_available,not_available,not_applicable,tier_a_ois_or_short_rate_futures_required,not_available,1.0,FAIL,No free point-in-time six-month policy-expectation history has qualified across all G10 currencies.
USD,policy_rate,BIS WS_CBPOL 1.0,WS_CBPOL.D.US,daily,long_history_provider_specific,open,effective_date_verified_announcement_time_pending,non_revisable_with_corrections_possible,not_applicable,free_access_terms_reviewed_for_research_snapshots,sample_pass_full_backfill_pending,REVIEW_REQUIRED,BIS scalar history passes; exact bank announcement times and corridor mappings need effective-dated profiles.
USD,underlying_inflation,ALFRED hosting OECD or Eurostat,CPGRLE01USM659N,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Generic core CPI is not core PCE; Federal Reserve mapping remains unresolved.
USD,unemployment,ALFRED hosting OECD,LRHUTTTTUSM156S,monthly,pending_full_series_audit,open,vintage_date_verified_exact_release_time_pending,common_two_vintage_request_passed,not_applicable,free_access_redistribution_review_pending,pending_backfill,REVIEW_REQUIRED,Harmonised unemployment is a candidate; release calendars and revisions remain to be audited.
